Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Amentoflavone,Site1,WW,0,0,
Amentoflavone,Site1,WW,0.58718884,0,
Amentoflavone,Site1,WW,0.08450437,0,
Amentoflavone,Site1,WW,0.5925057,0.316049728,
Amentoflavone,Site1,WOW,0,0,
Amentoflavone,Site1,WOW,0.57535315,0,
Amentoflavone,Site1,WOW,0.3340681,0,
Amentoflavone,Site1,WOW,0.5812968,0.372679513,
Amentoflavone,Site2,WW,0,0,
Amentoflavone,Site2,WW,0.59676445,0,
Amentoflavone,Site2,WW,0.04621444,0,
Amentoflavone,Site2,WW,0.5991815,0.310540098,
Amentoflavone,Site2,WOW,0,0,
Amentoflavone,Site2,WOW,0.5894492,0,
Amentoflavone,Site2,WOW,0.20971157,0,
Amentoflavone,Site2,WOW,0.57895297,0.344528435,
Amentoflavone,Site3d,WW,0,0,
Amentoflavone,Site3d,WW,0.5773792,0,
Amentoflavone,Site3d,WW,0.058938775,0,
Amentoflavone,Site3d,WW,0.5779454,0.303565844,
Amentoflavone,Site3d,WOW,0,0,
Amentoflavone,Site3d,WOW,0.5851455,0,
Amentoflavone,Site3d,WOW,0.08406703,0,
Amentoflavone,Site3d,WOW,0.5818874,0.312774983,
Amentoflavone,Site3m,WW,0,0,
Amentoflavone,Site3m,WW,0.589369,0,
Amentoflavone,Site3m,WW,0.045195643,0,
Amentoflavone,Site3m,WW,0.559468,0.298508161,
Amentoflavone,Site3m,WOW,0,0,
Amentoflavone,Site3m,WOW,0.5584152,0,
Amentoflavone,Site3m,WOW,0.041866597,0,
Amentoflavone,Site3m,WOW,0.5514178,0.287924899,
Apigenin,Site1,WW,0.000143986,0,
Apigenin,Site1,WW,0.050363924,0,
Apigenin,Site1,WW,0.046588853,0,
Apigenin,Site1,WW,0.10791741,0.051253543,
Apigenin,Site1,WOW,0.000249392,0,
Apigenin,Site1,WOW,0.054075044,0,
Apigenin,Site1,WOW,0.036684588,0,
Apigenin,Site1,WOW,0.050565843,0.035393717,
Apigenin,Site2,WW,0,0,
Apigenin,Site2,WW,0.03167731,0,
Apigenin,Site2,WW,0.035898525,0,
Apigenin,Site2,WW,0.10590923,0.043371266,
Apigenin,Site2,WOW,0,0,
Apigenin,Site2,WOW,0.10843181,0,
Apigenin,Site2,WOW,0.048262905,0,
Apigenin,Site2,WOW,0.044157803,0.05021313,
Apigenin,Site3d,WW,0,0,
Apigenin,Site3d,WW,0.10515673,0,
Apigenin,Site3d,WW,0.041705597,0,
Apigenin,Site3d,WW,0.11660596,0.065867072,
Apigenin,Site3d,WOW,0.000143986,0,
Apigenin,Site3d,WOW,0.108270794,0,
Apigenin,Site3d,WOW,0.042003296,0,
Apigenin,Site3d,WOW,0.10649876,0.064229209,
Apigenin,Site3m,WW,0,0,
Apigenin,Site3m,WW,0.051381726,0,
Apigenin,Site3m,WW,0.03774913,0,
Apigenin,Site3m,WW,0.045956668,0.033771881,
Apigenin,Site3m,WOW,0,0,
Apigenin,Site3m,WOW,0.04343854,0,
Apigenin,Site3m,WOW,0.04450108,0,
Apigenin,Site3m,WOW,0.054604035,0.035635914,
Baricitinib,Site1,With_Water,0.00018794,0,
Baricitinib,Site1,With_Water,0.13938184,0,
Baricitinib,Site1,With_Water,0.13991451,0,
Baricitinib,Site1,With_Water,0.2547915,0.133568948,
Baricitinib,Site1,Without_Water,0,0,
Baricitinib,Site1,Without_Water,0.16225605,0,
Baricitinib,Site1,Without_Water,0.16188294,0,
Baricitinib,Site1,Without_Water,0.17304553,0.12429613,
Baricitinib,Site2,With_Water,0,0,
Baricitinib,Site2,With_Water,0.19287547,0,
Baricitinib,Site2,With_Water,0.07930225,0,
Baricitinib,Site2,With_Water,0.08045064,0.08815709,
Baricitinib,Site2,Without_Water,0.00018794,0,
Baricitinib,Site2,Without_Water,0.07461413,0,
Baricitinib,Site2,Without_Water,0.07418091,0,
Baricitinib,Site2,Without_Water,0.011682525,0.040166376,
Baricitinib,Site3d,With_Water,0,0,
Baricitinib,Site3d,With_Water,0.088324584,0,
Baricitinib,Site3d,With_Water,0.10754445,0,
Baricitinib,Site3d,With_Water,0.11337163,0.077310166,
Baricitinib,Site3d,Without_Water,0,0,
Baricitinib,Site3d,Without_Water,0.031355504,0,
Baricitinib,Site3d,Without_Water,0.21884568,0,
Baricitinib,Site3d,Without_Water,0.177623,0.106956046,
Baricitinib,Site3m,With_Water,0,0,
Baricitinib,Site3m,With_Water,0.19925593,0,
Baricitinib,Site3m,With_Water,0.011783375,0,
Baricitinib,Site3m,With_Water,0.004717245,0.053939138,
Baricitinib,Site3m,Without_Water,0,0,
Baricitinib,Site3m,Without_Water,0.21257894,0,
Baricitinib,Site3m,Without_Water,0.19683592,0,
Baricitinib,Site3m,Without_Water,0.21872376,0.157034655,
Berchemol,Site1,With_Water,0,0,
Berchemol,Site1,With_Water,0.051079944,0,
Berchemol,Site1,With_Water,0.047550704,0,
Berchemol,Site1,With_Water,0.057691358,0.039080502,
Berchemol,Site1,Without_Water,0,0,
Berchemol,Site1,Without_Water,0.03235993,0,
Berchemol,Site1,Without_Water,0.17065309,0,
Berchemol,Site1,Without_Water,0.05966036,0.065668345,
Berchemol,Site2,With_Water,0,0,
Berchemol,Site2,With_Water,0.037650906,0,
Berchemol,Site2,With_Water,0.20677388,0,
Berchemol,Site2,With_Water,0.19603156,0.110114087,
Berchemol,Site2,Without_Water,0,0,
Berchemol,Site2,Without_Water,0.040131923,0,
Berchemol,Site2,Without_Water,0.19371504,0,
Berchemol,Site2,Without_Water,0.056404684,0.072562912,
Berchemol,Site3d,With_Water,0,0,
Berchemol,Site3d,With_Water,0.18874748,0,
Berchemol,Site3d,With_Water,0.037276458,0,
Berchemol,Site3d,With_Water,0.055543453,0.070391848,
Berchemol,Site3d,Without_Water,0,0,
Berchemol,Site3d,Without_Water,0.047608573,0,
Berchemol,Site3d,Without_Water,0.034057964,0,
Berchemol,Site3d,Without_Water,0.04556748,0.031808504,
Berchemol,Site3m,With_Water,0.000175396,0,
Berchemol,Site3m,With_Water,0.054986514,0,
Berchemol,Site3m,With_Water,0.04389663,0,
Berchemol,Site3m,With_Water,0.03918713,0.034561418,
Berchemol,Site3m,Without_Water,0.000175396,0,
Berchemol,Site3m,Without_Water,0.044036575,0,
