Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean
Amentoflavone,Site1,WOW,0,0
Amentoflavone,Site1,WOW,0.57535315,0
Amentoflavone,Site1,WOW,0.3340681,0
Amentoflavone,Site1,WOW,0.5812968,0.372679513
Amentoflavone,Site2,WOW,0,0
Amentoflavone,Site2,WOW,0.5894492,0
Amentoflavone,Site2,WOW,0.20971157,0
Amentoflavone,Site2,WOW,0.57895297,0.344528435
Amentoflavone,Site3d,WOW,0,0
Amentoflavone,Site3d,WOW,0.5851455,0
Amentoflavone,Site3d,WOW,0.08406703,0
Amentoflavone,Site3d,WOW,0.5818874,0.312774983
Amentoflavone,Site3m,WOW,0,0
Amentoflavone,Site3m,WOW,0.5584152,0
Amentoflavone,Site3m,WOW,0.041866597,0
Amentoflavone,Site3m,WOW,0.5514178,0.287924899
Apigenin,Site1,WOW,0.000249392,0
Apigenin,Site1,WOW,0.054075044,0
Apigenin,Site1,WOW,0.036684588,0
Apigenin,Site1,WOW,0.050565843,0.035393717
Apigenin,Site2,WOW,0,0
Apigenin,Site2,WOW,0.10843181,0
Apigenin,Site2,WOW,0.048262905,0
Apigenin,Site2,WOW,0.044157803,0.05021313
Apigenin,Site3d,WOW,0.000143986,0
Apigenin,Site3d,WOW,0.108270794,0
Apigenin,Site3d,WOW,0.042003296,0
Apigenin,Site3d,WOW,0.10649876,0.064229209
Apigenin,Site3m,WOW,0,0
Apigenin,Site3m,WOW,0.04343854,0
Apigenin,Site3m,WOW,0.04450108,0
Apigenin,Site3m,WOW,0.054604035,0.035635914
Baricitinib,Site1,Without_Water,0,0
Baricitinib,Site1,Without_Water,0.16225605,0
Baricitinib,Site1,Without_Water,0.16188294,0
Baricitinib,Site1,Without_Water,0.17304553,0.12429613
Baricitinib,Site2,Without_Water,0.00018794,0
Baricitinib,Site2,Without_Water,0.07461413,0
Baricitinib,Site2,Without_Water,0.07418091,0
Baricitinib,Site2,Without_Water,0.011682525,0.040166376
Baricitinib,Site3d,Without_Water,0,0
Baricitinib,Site3d,Without_Water,0.031355504,0
Baricitinib,Site3d,Without_Water,0.21884568,0
Baricitinib,Site3d,Without_Water,0.177623,0.106956046
Baricitinib,Site3m,Without_Water,0,0
Baricitinib,Site3m,Without_Water,0.21257894,0
Baricitinib,Site3m,Without_Water,0.19683592,0
Baricitinib,Site3m,Without_Water,0.21872376,0.157034655
Berchemol,Site1,Without_Water,0,0
Berchemol,Site1,Without_Water,0.03235993,0
Berchemol,Site1,Without_Water,0.17065309,0
Berchemol,Site1,Without_Water,0.05966036,0.065668345
Berchemol,Site2,Without_Water,0,0
Berchemol,Site2,Without_Water,0.040131923,0
Berchemol,Site2,Without_Water,0.19371504,0
Berchemol,Site2,Without_Water,0.056404684,0.072562912
Berchemol,Site3d,Without_Water,0,0
Berchemol,Site3d,Without_Water,0.047608573,0
Berchemol,Site3d,Without_Water,0.034057964,0
Berchemol,Site3d,Without_Water,0.04556748,0.031808504
Berchemol,Site3m,Without_Water,0.000175396,0
Berchemol,Site3m,Without_Water,0.044036575,0
Berchemol,Site3m,Without_Water,0.049583063,0
Berchemol,Site3m,Without_Water,0.0568166,0.037652909
Beta,Site1,Without_Water,0,0
Beta,Site1,Without_Water,0.120828,0
Beta,Site1,Without_Water,0.075760596,0
Beta,Site1,Without_Water,0.06860852,0.066299279
Beta,Site2,Without_Water,0.000143986,0
Beta,Site2,Without_Water,0.08956664,0
Beta,Site2,Without_Water,0.04758785,0
Beta,Site2,Without_Water,0.098977245,0.05906893
Beta,Site3d,Without_Water,0,0
Beta,Site3d,Without_Water,0.09695817,0
Beta,Site3d,Without_Water,0.09268837,0
