Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value,WOW,dG,Mean
Amentoflavone,Site1,WW,0,With water,-8.8,0
Amentoflavone,Site1,WW,0.58718884,Without water,-9.5,0
Amentoflavone,Site1,WW,0.08450437,Reapeat with water,-8.8,0
Amentoflavone,Site1,WW,0.5925057,Repeat without water,-9.5,-9.15
Amentoflavone,Site1,WOW,0,With water,-8.8,0
Amentoflavone,Site1,WOW,0.57535315,Without water,-9,0
Amentoflavone,Site1,WOW,0.3340681,Reapeat with water,-8.8,0
Amentoflavone,Site1,WOW,0.5812968,Repeat without water,-9.5,-9.025
Amentoflavone,Site2,WW,0,With water,-10.9,0
Amentoflavone,Site2,WW,0.59676445,Without water,-11.3,0
Amentoflavone,Site2,WW,0.04621444,Reapeat with water,-10.9,0
Amentoflavone,Site2,WW,0.5991815,Repeat without water,-11,-11.025
Amentoflavone,Site2,WOW,0,With water,-10.9,0
Amentoflavone,Site2,WOW,0.5894492,Without water,-11,0
Amentoflavone,Site2,WOW,0.20971157,Reapeat with water,-10.9,0
Amentoflavone,Site2,WOW,0.57895297,Repeat without water,-11,-10.95
Amentoflavone,Site3d,WW,0,With water,-9.9,0
Amentoflavone,Site3d,WW,0.5773792,Without water,-9.7,0
Amentoflavone,Site3d,WW,0.058938775,Reapeat with water,-9.8,0
Amentoflavone,Site3d,WW,0.5779454,Repeat without water,-9.7,-9.775
Amentoflavone,Site3d,WOW,0,With water,-9.9,0
Amentoflavone,Site3d,WOW,0.5851455,Without water,-9.7,0
Amentoflavone,Site3d,WOW,0.08406703,Reapeat with water,-9.9,0
Amentoflavone,Site3d,WOW,0.5818874,Repeat without water,-9.5,-9.75
Amentoflavone,Site3m,WW,0,With water,-7.6,0
Amentoflavone,Site3m,WW,0.589369,Without water,-7.8,0
Amentoflavone,Site3m,WW,0.045195643,Reapeat with water,-7.6,0
Amentoflavone,Site3m,WW,0.559468,Repeat without water,-7.8,-7.7
Amentoflavone,Site3m,WOW,0,With water,-7.6,0
Amentoflavone,Site3m,WOW,0.5584152,Without water,-7.8,0
Amentoflavone,Site3m,WOW,0.041866597,Reapeat with water,-7.5,0
