Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Amentoflavone,Site1,With_Water,0,0,
Amentoflavone,Site1,With_Water,0.085489765,0,
Amentoflavone,Site1,With_Water,0.16105147,0,
Amentoflavone,Site1,With_Water,0.20448145,0.112755671,
Amentoflavone,Site1,Without_Water,0,0,
Amentoflavone,Site1,Without_Water,0.20460534,0,
Amentoflavone,Site1,Without_Water,0.34229606,0,
Amentoflavone,Site1,Without_Water,0.33485574,0.220439285,
Amentoflavone,Site2,With_Water,0,0,
Amentoflavone,Site2,With_Water,0.34103012,0,
Amentoflavone,Site2,With_Water,0.35580054,0,
Amentoflavone,Site2,With_Water,0.26280951,0.239910043,
Amentoflavone,Site2,Without_Water,0,0,
Amentoflavone,Site2,Without_Water,0.2198921,0,
Amentoflavone,Site2,Without_Water,0.37974125,0,
Amentoflavone,Site2,Without_Water,0.39223808,0.247967858,
Apigenin,Site1,With_Water,0,0,
Apigenin,Site1,With_Water,0.12182945,0,
Apigenin,Site1,With_Water,0.025900088,0,
Apigenin,Site1,With_Water,0.02529278,0.04325558,
Apigenin,Site1,Without_Water,0,0,
Apigenin,Site1,Without_Water,0.039159223,0,
Apigenin,Site1,Without_Water,0.10952037,0,
Apigenin,Site1,Without_Water,0.17846556,0.081786288,
Apigenin,Site2,With_Water,0,0,
Apigenin,Site2,With_Water,0.17559297,0,
Apigenin,Site2,With_Water,0.17842646,0,
Apigenin,Site2,With_Water,0.010979273,0.091249676,
Apigenin,Site2,Without_Water,0,0,
Apigenin,Site2,Without_Water,0.006030488,0,
Apigenin,Site2,Without_Water,0.036495227,0,
Apigenin,Site2,Without_Water,0.014755469,0.014320296,
Baicalein,Site1,With_Water,0.000178295,0,
Baicalein,Site1,With_Water,0.012847149,0,
Baicalein,Site1,With_Water,0.035693772,0,
Baicalein,Site1,With_Water,0.040767245,0.022371615,
Baicalein,Site1,Without_Water,0.000178295,0,
Baicalein,Site1,Without_Water,0.17033967,0,
Baicalein,Site1,Without_Water,0.03261582,0,
Baicalein,Site1,Without_Water,0.17526944,0.094600806,
Baicalein,Site2,With_Water,0.000178295,0,
Baicalein,Site2,With_Water,0.043636065,0,
Baicalein,Site2,With_Water,0.03978938,0,
Baicalein,Site2,With_Water,0.17368853,0.064323068,
Baicalein,Site2,Without_Water,0,0,
Baicalein,Site2,Without_Water,0.028948119,0,
Baicalein,Site2,Without_Water,0.17232995,0,
Baicalein,Site2,Without_Water,0.17499708,0.094068787,
Baicalein,Site3d,With_Water,0,0,
Baicalein,Site3d,With_Water,0.11179203,0,
Baicalein,Site3d,With_Water,0.006661655,0,
Baicalein,Site3d,With_Water,0.17399803,0.073112929,
Baicalein,Site3d,Without_Water,0,0,
Baicalein,Site3d,Without_Water,0.10351455,0,
Baicalein,Site3d,Without_Water,0.1713339,0,
Baicalein,Site3d,Without_Water,0.17161754,0.111616498,
