Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean
Amentoflavone,Site1,With_Water,-7.004,0
Amentoflavone,Site1,With_Water,-10.634,0
Amentoflavone,Site1,With_Water,-10.732,0
Amentoflavone,Site1,With_Water,-10.795,-9.79125
Amentoflavone,Site1,Without_Water,-5.747,0
Amentoflavone,Site1,Without_Water,-10.413,0
Amentoflavone,Site1,Without_Water,-11.57,0
Amentoflavone,Site1,Without_Water,-10.885,-9.65375
Amentoflavone,Site2,With_Water,-12.407,0
Amentoflavone,Site2,With_Water,-12.479,0
Amentoflavone,Site2,With_Water,-11.076,0
Amentoflavone,Site2,With_Water,-11.932,-11.9735
Amentoflavone,Site2,Without_Water,-11.683,0
Amentoflavone,Site2,Without_Water,-10.234,0
Amentoflavone,Site2,Without_Water,-11.56,0
Amentoflavone,Site2,Without_Water,-10.13,-10.90175
Apigenin,Site1,With_Water,-7.802,0
Apigenin,Site1,With_Water,-8.058,0
Apigenin,Site1,With_Water,-6.994,0
Apigenin,Site1,With_Water,-7.486,-7.585
Apigenin,Site1,Without_Water,-10.535,0
Apigenin,Site1,Without_Water,-10.592,0
Apigenin,Site1,Without_Water,-8.138,0
Apigenin,Site1,Without_Water,-6.75,-9.00375
Apigenin,Site2,With_Water,-7.309,0
Apigenin,Site2,With_Water,-8.791,0
Apigenin,Site2,With_Water,-7.186,0
Apigenin,Site2,With_Water,-7.953,-7.80975
Apigenin,Site2,Without_Water,-8.913,0
Apigenin,Site2,Without_Water,-8.576,0
Apigenin,Site2,Without_Water,-7.866,0
Apigenin,Site2,Without_Water,-7.218,-8.14325
Baicalein,Site1,With_Water,-7.561,0
Baicalein,Site1,With_Water,-7.107,0
Baicalein,Site1,With_Water,-7.606,0
Baicalein,Site1,With_Water,-7.804,-7.5195
Baicalein,Site1,Without_Water,-6.34,0
Baicalein,Site1,Without_Water,-6.566,0
Baicalein,Site1,Without_Water,-6.776,0
Baicalein,Site1,Without_Water,-6.334,-6.504
Baicalein,Site2,With_Water,-6.512,0
Baicalein,Site2,With_Water,-7.48,0
Baicalein,Site2,With_Water,-6.698,0
Baicalein,Site2,With_Water,-5.43,-6.53
Baicalein,Site2,Without_Water,-7.1,0
Baicalein,Site2,Without_Water,-7.154,0
Baicalein,Site2,Without_Water,-6.657,0
Baicalein,Site2,Without_Water,-6.43,-6.83525
Baicalein,Site3d,With_Water,-6.804,0
Baicalein,Site3d,With_Water,-6.877,0
Baicalein,Site3d,With_Water,-7.181,0
Baicalein,Site3d,With_Water,-6.717,-6.89475
Baicalein,Site3d,Without_Water,-7.652,0
Baicalein,Site3d,Without_Water,-7.08,0
Baicalein,Site3d,Without_Water,-7.535,0
Baicalein,Site3d,Without_Water,7.101,-3.7915
Baicalein,Site3m,With_Water,-6.974,0
Baicalein,Site3m,With_Water,-6.546,0
Baicalein,Site3m,With_Water,-6.661,0
Baicalein,Site3m,With_Water,-6.141,-6.5805
Baicalein,Site3m,Without_Water,-6.911,0
Baicalein,Site3m,Without_Water,-4.973,0
Baicalein,Site3m,Without_Water,-6.675,0
Baicalein,Site3m,Without_Water,-4.756,-5.82875
Baicalin,Site1,With_Water,-7.913,0
Baicalin,Site1,With_Water,-8.741,0
Baicalin,Site1,With_Water,-7.747,0
Baicalin,Site1,With_Water,-8.709,-8.2775
Baicalin,Site1,Without_Water,-7.578,0
Baicalin,Site1,Without_Water,-7.842,0
Baicalin,Site1,Without_Water,-6.586,0
Baicalin,Site1,Without_Water,-8.167,-7.54325
Baicalin,Site2,With_Water,-8.66,0
Baicalin,Site2,With_Water,-8.432,0
Baicalin,Site2,With_Water,-8.409,0
Baicalin,Site2,With_Water,-8.304,-8.45125
Baicalin,Site2,Without_Water,-8.227,0
Baicalin,Site2,Without_Water,-7.994,0
Baicalin,Site2,Without_Water,-8.765,0
Baicalin,Site2,Without_Water,-9.515,-8.62525
Baicalin,Site3d,With_Water,-7.346,0
Baicalin,Site3d,With_Water,-8.339,0
Baicalin,Site3d,With_Water,-7.303,0
Baicalin,Site3d,With_Water,-6.236,-7.306
Baicalin,Site3d,Without_Water,-7.379,0
Baicalin,Site3d,Without_Water,-7.009,0
