Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean
Amentoflavone,Site1,Without_Water,0,0
Amentoflavone,Site1,Without_Water,0.20460534,0
Amentoflavone,Site1,Without_Water,0.34229606,0
Amentoflavone,Site1,Without_Water,0.33485574,0.220439285
Amentoflavone,Site2,Without_Water,0,0
Amentoflavone,Site2,Without_Water,0.2198921,0
Amentoflavone,Site2,Without_Water,0.37974125,0
Amentoflavone,Site2,Without_Water,0.39223808,0.247967858
Apigenin,Site1,Without_Water,0,0
Apigenin,Site1,Without_Water,0.039159223,0
Apigenin,Site1,Without_Water,0.10952037,0
Apigenin,Site1,Without_Water,0.17846556,0.081786288
Apigenin,Site2,Without_Water,0,0
Apigenin,Site2,Without_Water,0.006030488,0
Apigenin,Site2,Without_Water,0.036495227,0
Apigenin,Site2,Without_Water,0.014755469,0.014320296
Baicalein,Site1,Without_Water,0.000178295,0
Baicalein,Site1,Without_Water,0.17033967,0
Baicalein,Site1,Without_Water,0.03261582,0
Baicalein,Site1,Without_Water,0.17526944,0.094600806
Baicalein,Site2,Without_Water,0,0
Baicalein,Site2,Without_Water,0.028948119,0
Baicalein,Site2,Without_Water,0.17232995,0
Baicalein,Site2,Without_Water,0.17499708,0.094068787
Baicalein,Site3d,Without_Water,0,0
Baicalein,Site3d,Without_Water,0.10351455,0
Baicalein,Site3d,Without_Water,0.1713339,0
Baicalein,Site3d,Without_Water,0.17161754,0.111616498
Baicalein,Site3m,Without_Water,0,0
Baicalein,Site3m,Without_Water,0.17374343,0
Baicalein,Site3m,Without_Water,0.05768997,0
Baicalein,Site3m,Without_Water,0.17539571,0.101707278
Baicalin,Site1,Without_Water,0,0
Baicalin,Site1,Without_Water,0.03593269,0
Baicalin,Site1,Without_Water,0.16557188,0
Baicalin,Site1,Without_Water,0.12520567,0.08167756
Baicalin,Site2,Without_Water,0.000197295,0
Baicalin,Site2,Without_Water,0.24987268,0
Baicalin,Site2,Without_Water,0.16420254,0
Baicalin,Site2,Without_Water,0.13723241,0.137876231
Baicalin,Site3d,Without_Water,0,0
Baicalin,Site3d,Without_Water,0.14430228,0
Baicalin,Site3d,Without_Water,0.23429385,0
Baicalin,Site3d,Without_Water,0.30123326,0.169957348
Baicalin,Site3m,Without_Water,0,0
Baicalin,Site3m,Without_Water,0.09513834,0
Baicalin,Site3m,Without_Water,0.13667461,0
Baicalin,Site3m,Without_Water,0.10084981,0.08316569
Baricitinib,Site1,Without_Water,0.000210611,0
Baricitinib,Site1,Without_Water,0.22600305,0
Baricitinib,Site1,Without_Water,0.035988588,0
Baricitinib,Site1,Without_Water,0.2122198,0.118605512
Baricitinib,Site2,Without_Water,0,0
Baricitinib,Site2,Without_Water,0.26827487,0
Baricitinib,Site2,Without_Water,0.24734601,0
Baricitinib,Site2,Without_Water,0.23851159,0.188533118
Baricitinib,Site3d,Without_Water,0,0
Baricitinib,Site3d,Without_Water,0.004362239,0
Baricitinib,Site3d,Without_Water,0.08893318,0
Baricitinib,Site3d,Without_Water,0.20733371,0.075157282
Baricitinib,Site3m,Without_Water,0,0
Baricitinib,Site3m,Without_Water,0.27819085,0
Baricitinib,Site3m,Without_Water,0.1375568,0
Baricitinib,Site3m,Without_Water,0.27091065,0.171664575
Berchemol,Site1,Without_Water,0,0
Berchemol,Site1,Without_Water,0.020384803,0
Berchemol,Site1,Without_Water,0.3381378,0
Berchemol,Site1,Without_Water,0.25648597,0.153752143
Berchemol,Site2,Without_Water,0,0
Berchemol,Site2,Without_Water,0.091161765,0
Berchemol,Site2,Without_Water,0.23116815,0
Berchemol,Site2,Without_Water,0.22926854,0.137899614
Berchemol,Site3d,Without_Water,0.000193388,0
Berchemol,Site3d,Without_Water,0.027599687,0
Berchemol,Site3d,Without_Water,0.12683538,0
Berchemol,Site3d,Without_Water,0.10699332,0.065405444
Berchemol,Site3m,Without_Water,0.000193388,0
Berchemol,Site3m,Without_Water,0.01337458,0
Berchemol,Site3m,Without_Water,0.2895746,0
Berchemol,Site3m,Without_Water,0.28022555,0.14584203
Camostat,Site1,Without_Water,0,0
Camostat,Site1,Without_Water,0.19355996,0
Camostat,Site1,Without_Water,0.18992399,0
Camostat,Site1,Without_Water,0.18792364,0.142851898
Camostat,Site2,Without_Water,0.00027085,0
Camostat,Site2,Without_Water,0.2574882,0
Camostat,Site2,Without_Water,0.32945356,0
Camostat,Site2,Without_Water,0.26140055,0.21215329
Camostat,Site3d,Without_Water,0,0
Camostat,Site3d,Without_Water,0.13530481,0
Camostat,Site3d,Without_Water,0.24530865,0
Camostat,Site3d,Without_Water,0.16654812,0.136790395
Camostat,Site3m,Without_Water,0,0
Camostat,Site3m,Without_Water,0.0398453,0
Camostat,Site3m,Without_Water,0.24639435,0
