Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean
Amentoflavone,Site1,Without_Water,-5.747,0
Amentoflavone,Site1,Without_Water,-10.413,0
Amentoflavone,Site1,Without_Water,-11.57,0
Amentoflavone,Site1,Without_Water,-10.885,-9.65375
Amentoflavone,Site2,Without_Water,-11.683,0
Amentoflavone,Site2,Without_Water,-10.234,0
Amentoflavone,Site2,Without_Water,-11.56,0
Amentoflavone,Site2,Without_Water,-10.13,-10.90175
Apigenin,Site1,Without_Water,-10.535,0
Apigenin,Site1,Without_Water,-10.592,0
Apigenin,Site1,Without_Water,-8.138,0
Apigenin,Site1,Without_Water,-6.75,-9.00375
Apigenin,Site2,Without_Water,-8.913,0
Apigenin,Site2,Without_Water,-8.576,0
Apigenin,Site2,Without_Water,-7.866,0
Apigenin,Site2,Without_Water,-7.218,-8.14325
Baicalein,Site1,Without_Water,-6.34,0
Baicalein,Site1,Without_Water,-6.566,0
Baicalein,Site1,Without_Water,-6.776,0
Baicalein,Site1,Without_Water,-6.334,-6.504
Baicalein,Site2,Without_Water,-7.1,0
Baicalein,Site2,Without_Water,-7.154,0
Baicalein,Site2,Without_Water,-6.657,0
Baicalein,Site2,Without_Water,-6.43,-6.83525
Baicalein,Site3d,Without_Water,-7.652,0
Baicalein,Site3d,Without_Water,-7.08,0
Baicalein,Site3d,Without_Water,-7.535,0
Baicalein,Site3d,Without_Water,7.101,-3.7915
Baicalein,Site3m,Without_Water,-6.911,0
Baicalein,Site3m,Without_Water,-4.973,0
Baicalein,Site3m,Without_Water,-6.675,0
Baicalein,Site3m,Without_Water,-4.756,-5.82875
Baicalin,Site1,Without_Water,-7.578,0
Baicalin,Site1,Without_Water,-7.842,0
Baicalin,Site1,Without_Water,-6.586,0
Baicalin,Site1,Without_Water,-8.167,-7.54325
Baicalin,Site2,Without_Water,-8.227,0
Baicalin,Site2,Without_Water,-7.994,0
Baicalin,Site2,Without_Water,-8.765,0
Baicalin,Site2,Without_Water,-9.515,-8.62525
Baicalin,Site3d,Without_Water,-7.379,0
Baicalin,Site3d,Without_Water,-7.009,0
Baicalin,Site3d,Without_Water,-7.115,0
Baicalin,Site3d,Without_Water,-6.598,-7.02525
Baicalin,Site3m,Without_Water,-8.743,0
Baicalin,Site3m,Without_Water,-7.044,0
Baicalin,Site3m,Without_Water,-8.302,0
Baicalin,Site3m,Without_Water,-7.621,-7.9275
Baricitinib,Site1,Without_Water,-6.349,0
Baricitinib,Site1,Without_Water,-6.3,0
Baricitinib,Site1,Without_Water,-6.886,0
Baricitinib,Site1,Without_Water,-6.9245,-6.614875
Baricitinib,Site2,Without_Water,-7.964,0
Baricitinib,Site2,Without_Water,-7.713,0
Baricitinib,Site2,Without_Water,-7.719,0
Baricitinib,Site2,Without_Water,-7.405,-7.70025
Baricitinib,Site3d,Without_Water,-6.746,0
Baricitinib,Site3d,Without_Water,-7.786,0
Baricitinib,Site3d,Without_Water,-7.809,0
Baricitinib,Site3d,Without_Water,-7.788,-7.53225
Baricitinib,Site3m,Without_Water,-5.671,0
Baricitinib,Site3m,Without_Water,-5.769,0
Baricitinib,Site3m,Without_Water,-4.894,0
Baricitinib,Site3m,Without_Water,-4.899,-5.30825
Berchemol,Site1,Without_Water,-7.741,0
Berchemol,Site1,Without_Water,-8.197,0
Berchemol,Site1,Without_Water,-7.771,0
Berchemol,Site1,Without_Water,-8.614,-8.08075
Berchemol,Site2,Without_Water,-9.3,0
Berchemol,Site2,Without_Water,-7.937,0
Berchemol,Site2,Without_Water,-7.885,0
Berchemol,Site2,Without_Water,-7.874,-8.249
Berchemol,Site3d,Without_Water,-9.155,0
Berchemol,Site3d,Without_Water,-8.406,0
Berchemol,Site3d,Without_Water,-8.234,0
Berchemol,Site3d,Without_Water,-8.41,-8.55125
Berchemol,Site3m,Without_Water,-7.154,0
Berchemol,Site3m,Without_Water,-7.479,0
Berchemol,Site3m,Without_Water,-6.599,0
Berchemol,Site3m,Without_Water,-4.393,-6.40625
Camostat,Site1,Without_Water,-8.775,0
Camostat,Site1,Without_Water,-8.756,0
Camostat,Site1,Without_Water,-9.354,0
Camostat,Site1,Without_Water,-9.249,-9.0335
Camostat,Site2,Without_Water,-9.326,0
Camostat,Site2,Without_Water,-9.247,0
Camostat,Site2,Without_Water,-8.429,0
Camostat,Site2,Without_Water,-9.718,-9.18
Camostat,Site3d,Without_Water,-7.735,0
Camostat,Site3d,Without_Water,-7.793,0
Camostat,Site3d,Without_Water,-7.292,0
Camostat,Site3d,Without_Water,-8.654,-7.8685
Camostat,Site3m,Without_Water,-6.648,0
Camostat,Site3m,Without_Water,-6.495,0
Camostat,Site3m,Without_Water,-5.61,0
Camostat,Site3m,Without_Water,-6.801,-6.3885
Chrysin,Site1,Without_water,-7.507,0
Chrysin,Site1,Without_water,-0.7356,0
Chrysin,Site1,Without_water,-9.693,0
Chrysin,Site1,Without_water,-7.362,-6.3244
Chrysin,Site2,Without_water,-7.78,0
Chrysin,Site2,Without_water,0,0
Chrysin,Site2,Without_water,-6.725,0
Chrysin,Site2,Without_water,0,-3.62625
Chrysin,Site3d,Without_water,-6.996,0
Chrysin,Site3d,Without_water,-6.782,0
Chrysin,Site3d,Without_water,-7.083,0
Chrysin,Site3d,Without_water,-6.664,-6.88125
Chrysin,Site3m,Without_water,-6.996,0
Chrysin,Site3m,Without_water,-6.221,0
Chrysin,Site3m,Without_water,-4.681,0
Chrysin,Site3m,Without_water,-6.691,-6.14725
Curcumin,Site1,Without_water,-6.385,0
Curcumin,Site1,Without_water,-7.287,0
Curcumin,Site1,Without_water,-7.77,0
Curcumin,Site1,Without_water,-7.676,-7.2795
Curcumin,Site2,Without_water,-9.309,0
Curcumin,Site2,Without_water,0,0
Curcumin,Site2,Without_water,-7.467,0
Curcumin,Site2,Without_water,0,-4.194
Curcumin,Site3d,Without_water,-9.056,0
Curcumin,Site3d,Without_water,-8.421,0
Curcumin,Site3d,Without_water,-7.966,0
Curcumin,Site3d,Without_water,-8.821,-8.566
Curcumin,Site3m,Without_water,-6.318,0
Curcumin,Site3m,Without_water,-6.755,0
Curcumin,Site3m,Without_water,-6.728,0
Curcumin,Site3m,Without_water,0,-4.95025
DAR,Site1,Without_Water,-10.523,0
DAR,Site1,Without_Water,-10.089,0
DAR,Site1,Without_Water,-9.89,0
DAR,Site1,Without_Water,-10.774,-10.319
DAR,Site2,Without_Water,-11.787,0
DAR,Site2,Without_Water,-12.441,0
DAR,Site2,Without_Water,-11.462,0
DAR,Site2,Without_Water,-11.463,-11.78825
DAR,Site3d,Without_Water,-10.276,0
DAR,Site3d,Without_Water,-10.356,0
DAR,Site3d,Without_Water,-9.587,0
DAR,Site3d,Without_Water,-10.012,-10.05775
DAR,Site3m,Without_Water,-8.743,0
DAR,Site3m,Without_Water,-7.044,0
DAR,Site3m,Without_Water,-8.302,0
DAR,Site3m,Without_Water,-7.621,-7.9275
Fisetin,Site1,Without_Water,-8.171,0
Fisetin,Site1,Without_Water,-8.894,0
Fisetin,Site1,Without_Water,-9.621,0
Fisetin,Site1,Without_Water,-8.967,-8.91325
Fisetin,Site2,Without_Water,-11.787,0
Fisetin,Site2,Without_Water,-12.441,0
Fisetin,Site2,Without_Water,-11.462,0
Fisetin,Site2,Without_Water,-11.463,-11.78825
Forsythoside,Site1,Without_Water,-6.399,0
Forsythoside,Site1,Without_Water,-6.888,0
Forsythoside,Site1,Without_Water,-5.592,0
Forsythoside,Site1,Without_Water,-7.63,-6.62725
Forsythoside,Site2,Without_Water,-6.42,0
Forsythoside,Site2,Without_Water,-7.396,0
Forsythoside,Site2,Without_Water,-7.426,0
Forsythoside,Site2,Without_Water,-8.409,-7.41275
Forsythoside,Site3d,Without_Water,-6.782,0
Forsythoside,Site3d,Without_Water,-5.077,0
Forsythoside,Site3d,Without_Water,-4.703,0
Forsythoside,Site3d,Without_Water,-7.363,-5.98125
Forsythoside,Site3m,Without_Water,-4.843,0
Forsythoside,Site3m,Without_Water,-4.511,0
Forsythoside,Site3m,Without_Water,-5.283,0
Forsythoside,Site3m,Without_Water,-5.542,-5.04475
Hydroxychloroquine,Site1,Without_Water,-7.299,0
Hydroxychloroquine,Site1,Without_Water,-7.502,0
Hydroxychloroquine,Site1,Without_Water,-8.064,0
Hydroxychloroquine,Site1,Without_Water,-7.503,-7.592
Hydroxychloroquine,Site2,Without_Water,-7.263,0
Hydroxychloroquine,Site2,Without_Water,-7.279,0
Hydroxychloroquine,Site2,Without_Water,-7.18,0
Hydroxychloroquine,Site2,Without_Water,-7.897,-7.40475
Hydroxychloroquine,Site3d,Without_Water,-7.54,0
Hydroxychloroquine,Site3d,Without_Water,-7.795,0
Hydroxychloroquine,Site3d,Without_Water,-7.682,0
Hydroxychloroquine,Site3d,Without_Water,-7.243,-7.565
Hydroxychloroquine,Site3m,Without_Water,-5.162,0
Hydroxychloroquine,Site3m,Without_Water,-5.731,0
Hydroxychloroquine,Site3m,Without_Water,-5.254,0
Hydroxychloroquine,Site3m,Without_Water,-5.937,-5.521
Hypericin,Site1,Without_Water,-9.693,0
Hypericin,Site1,Without_Water,-9.536,0
Hypericin,Site1,Without_Water,-8.396,0
Hypericin,Site1,Without_Water,-8.717,-9.0855
Hypericin,Site2,Without_Water,-13.225,0
Hypericin,Site2,Without_Water,-12.087,0
Hypericin,Site2,Without_Water,-13.19,0
Hypericin,Site2,Without_Water,-13.251,-12.93825
Hypericin,Site3d,Without_Water,-10.166,0
Hypericin,Site3d,Without_Water,-9.803,0
Hypericin,Site3d,Without_Water,-10.572,0
Hypericin,Site3d,Without_Water,-9.229,-9.9425
Hypericin,Site3m,Without_Water,-10.019,0
Hypericin,Site3m,Without_Water,-10.426,0
