Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Amentoflavone,Site1,WOW,0,0,
Amentoflavone,Site2,WOW,0.13505407,0,
Amentoflavone,Site3,WOW,0.09418068,0,
Amentoflavone,Site4,WOW,0.21995384,0.112297148,
Amentoflavone,Site5,WOW,0,0,
Amentoflavone,Site6,WOW,0.08474103,0,
Amentoflavone,Site7,WOW,0.30790606,0,
Amentoflavone,Site8,WOW,0.0432774,0.108981123,
Amentoflavone,Site9,WOW,0,0,
Amentoflavone,Site10,WOW,0.052103143,0,
Amentoflavone,Site11,WOW,0.08995168,0,
Amentoflavone,Site12,WOW,0.04225452,0.046077336,
Amentoflavone,Site13,WOW,0,0,
Amentoflavone,Site14,WOW,0.29523292,0,
Amentoflavone,Site15,WOW,0.08021445,0,
Amentoflavone,Site16,WOW,0.32906157,0.176127235,
Apigenin,Site17,WOW,0,0,
Apigenin,Site18,WOW,0.10391571,0,
Apigenin,Site19,WOW,0.10027175,0,
Apigenin,Site20,WOW,0.09273242,0.07422997,
Apigenin,Site21,WOW,0.000143986,0,
Apigenin,Site22,WOW,0.05261039,0,
Apigenin,Site23,WOW,0.036259394,0,
Apigenin,Site24,WOW,0.03619444,0.031302053,
Apigenin,Site25,WOW,0,0,
Apigenin,Site26,WOW,0.11219535,0,
Apigenin,Site27,WOW,0.055163477,0,
Apigenin,Site28,WOW,0.09061017,0.064492249,
Apigenin,Site29,WOW,0,0,
Apigenin,Site30,WOW,0.0748845,0,
Apigenin,Site31,WOW,0.10256575,0,
Apigenin,Site32,WOW,0.050317388,0.05694191,
Baicalein,Site33,WOW,0,0,
Baicalein,Site34,WOW,0.10692967,0,
Baicalein,Site35,WOW,0.09847167,0,
Baicalein,Site36,WOW,0.045664087,0.062766357,
Baicalein,Site37,WOW,0,0,
Baicalein,Site38,WOW,0.000143986,0,
Baicalein,Site39,WOW,0.000477548,0,
Baicalein,Site40,WOW,0.10073907,0.025340151,
Baicalein,Site41,WOW,0,0,
Baicalein,Site42,WOW,0.11197459,0,
Baicalein,Site43,WOW,0.10565062,0,
Baicalein,Site44,WOW,0.09168083,0.07732651,
Baicalein,Site45,WOW,0,0,
Baicalein,Site46,WOW,0.050392937,0,
Baicalein,Site47,WOW,0.10018901,0,
Baicalein,Site48,WOW,0.10142155,0.063000874,
Baicalin,Site49,WOW,0,0,
Baicalin,Site50,WOW,0.2965041,0,
Baicalin,Site51,WOW,0.20015563,0,
Baicalin,Site52,WOW,0.16486698,0.165381678,
Baicalin,Site53,WOW,0.000224039,0,
Baicalin,Site54,WOW,0.21137667,0,
Baicalin,Site55,WOW,0.16573678,0,
Baicalin,Site56,WOW,0.24005102,0.154347127,
Baicalin,Site57,WOW,0,0,
Baicalin,Site58,WOW,0.25547406,0,
Baicalin,Site59,WOW,0.12693256,0,
Baicalin,Site60,WOW,0.31355682,0.17399086,
Baicalin,Site61,WOW,0.000158419,0,
Baicalin,Site62,WOW,0.29733685,0,
Baicalin,Site63,WOW,0.27247438,0,
Baicalin,Site64,WOW,0.29596704,0.216484172,
Baricitinib,Site65,WOW,0,0,
Baricitinib,Site66,WOW,0.16606121,0,
Baricitinib,Site67,WOW,0.0781094,0,
Baricitinib,Site68,WOW,0.16389152,0.102015533,
Baricitinib,Site69,WOW,0.000132893,0,
Baricitinib,Site70,WOW,0.005121137,0,
Baricitinib,Site71,WOW,0.005482554,0,
Baricitinib,Site72,WOW,0.001561143,0.003074432,
Baricitinib,Site73,WOW,0,0,
Baricitinib,Site74,WOW,0.1355001,0,
Baricitinib,Site75,WOW,0.18370664,0,
Baricitinib,Site76,WOW,0.16337135,0.120644523,
Baricitinib,Site77,WOW,0,0,
Baricitinib,Site78,WOW,0.14704718,0,
Baricitinib,Site79,WOW,0.19926848,0,
Baricitinib,Site80,WOW,0.1306874,0.119250765,
Berchemol,Site81,WOW,0.000175396,0,
Berchemol,Site82,WOW,0.22314283,0,
Berchemol,Site83,WOW,0.19041547,0,
Berchemol,Site84,WOW,0.19459696,0.152082664,
Berchemol,Site85,WOW,0,0,
Berchemol,Site86,WOW,0.24261367,0,
Berchemol,Site87,WOW,0.21832812,0,
Berchemol,Site88,WOW,0.21844067,0.169845615,
Berchemol,Site89,WOW,0.000175396,0,
Berchemol,Site90,WOW,0.21747516,0,
Berchemol,Site91,WOW,0.20946527,0,
Berchemol,Site92,WOW,0.21349806,0.160153471,
Berchemol,Site93,WOW,0,0,
Berchemol,Site94,WOW,0.11481166,0,
Berchemol,Site95,WOW,0.17025296,0,
Berchemol,Site96,WOW,0.08995907,0.093755923,
Camostat,Site97,WOW,0.000236851,0,
Camostat,Site98,WOW,0.1950173,0,
Camostat,Site99,WOW,0.279706,0,
Camostat,Site100,WOW,0.3853785,0.215084663,
Camostat,Site101,WOW,0,0,
Camostat,Site102,WOW,0.14180604,0,
Camostat,Site103,WOW,0.38262993,0,
Camostat,Site104,WOW,0.3821338,0.226642443,
Camostat,Site105,WOW,0,0,
Camostat,Site106,WOW,0.24048334,0,
Camostat,Site107,WOW,0.33101037,0,
Camostat,Site108,WOW,0.23380908,0.201325698,
Camostat,Site109,WOW,0.000236851,0,
Camostat,Site110,WOW,0.32591164,0,
Camostat,Site111,WOW,0.21812876,0,
Camostat,Site112,WOW,0.1535775,0.174463688,
Chrysin,Site113,WOW,0,0,
Chrysin,Site114,WOW,0.061347507,0,
Chrysin,Site115,WOW,0.07193953,0,
Chrysin,Site116,WOW,0.040349483,0.04340913,
Chrysin,Site117,WOW,0.000150687,0,
Chrysin,Site118,WOW,0.000426207,0,
Chrysin,Site119,WOW,0.1117734,0,
Chrysin,Site120,WOW,0.000583608,0.028233475,
Chrysin,Site121,WOW,0,0,
Chrysin,Site122,WOW,0.06110292,0,
Chrysin,Site123,WOW,0.073942125,0,
Chrysin,Site124,WOW,0.0650634,0.050027111,
Chrysin,Site125,WOW,0,0,
Chrysin,Site126,WOW,0.10480832,0,
Chrysin,Site127,WOW,0.063116215,0,
Chrysin,Site128,WOW,0.112642236,0.070141693,
Curcumin,Site129,WOW,0.000362686,0,
Curcumin,Site130,WOW,0.20221911,0,
Curcumin,Site131,WOW,0.24503808,0,
Curcumin,Site132,WOW,0.11118418,0.139701014,
Curcumin,Site133,WOW,0,0,
Curcumin,Site134,WOW,0.2728435,0,
Curcumin,Site135,WOW,0.19615565,0,
Curcumin,Site136,WOW,0.16942522,0.159606093,
Curcumin,Site137,WOW,0,0,
Curcumin,Site138,WOW,0.18273717,0,
Curcumin,Site139,WOW,0.19278853,0,
Curcumin,Site140,WOW,0.2457452,0.155317725,
Curcumin,Site141,WOW,0,0,
Curcumin,Site142,WOW,0.24190749,0,
Curcumin,Site143,WOW,0.24987592,0,
Curcumin,Site144,WOW,0.17504373,0.166706785,
DAR,Site145,WOW,0.000279018,0,
DAR,Site146,WOW,0.43247235,0,
DAR,Site147,WOW,0.26588032,0,
DAR,Site148,WOW,0.4192141,0.279461447,
DAR,Site149,WOW,0,0,
DAR,Site150,WOW,0.40017578,0,
DAR,Site151,WOW,0.3671703,0,
DAR,Site152,WOW,0.36162072,0.2822417,
DAR,Site153,WOW,0,0,
DAR,Site154,WOW,0.29415265,0,
DAR,Site155,WOW,0.3645392,0,
DAR,Site156,WOW,0.40003416,0.264681503,
DAR,Site157,WOW,0.000279018,0,
DAR,Site158,WOW,0.36061755,0,
DAR,Site159,WOW,0.3321671,0,
DAR,Site160,WOW,0.26059207,0.238413934,
Diammonium,Site161,WOW,0,0,
Diammonium,Site162,WOW,0.046463713,0,
Diammonium,Site163,WOW,0.09198138,0,
Diammonium,Site164,WOW,0.2675238,0.101492223,
Diammonium,Site165,WOW,0,0,
Diammonium,Site166,WOW,0.0379703,0,
Diammonium,Site167,WOW,0.1226696,0,
Diammonium,Site168,WOW,0.09168764,0.063081885,
Diammonium,Site169,WOW,0.000173998,0,
Diammonium,Site170,WOW,0.06598846,0,
Diammonium,Site171,WOW,0.07677226,0,
Diammonium,Site172,WOW,0.10891454,0.062962315,
Diammonium,Site173,WOW,0,0,
Diammonium,Site174,WOW,0.06709701,0,
Diammonium,Site175,WOW,0.15333587,0,
Diammonium,Site176,WOW,0.21534033,0.108943303,
Disulfiram,Site177,WOW,0,0,
Disulfiram,Site178,WOW,0.2149367,0,
Disulfiram,Site179,WOW,0.08790308,0,
Disulfiram,Site180,WOW,0.058449123,0.090322226,
Disulfiram,Site181,WOW,0,0,
Disulfiram,Site182,WOW,0.003708608,0,
Disulfiram,Site183,WOW,0.17663878,0,
Disulfiram,Site184,WOW,0.17761633,0.089490929,
Disulfiram,Site185,WOW,0,0,
Disulfiram,Site186,WOW,0.19032378,0,
Disulfiram,Site187,WOW,0.20649712,0,
Disulfiram,Site188,WOW,0.096103534,0.123231109,
Disulfiram,Site189,WOW,0,0,
Disulfiram,Site190,WOW,0.17573695,0,
Disulfiram,Site191,WOW,0.18902229,0,
Disulfiram,Site192,WOW,0.1901029,0.138715535,
Fisetin,Site193,WOW,0,0,
Fisetin,Site194,WOW,0.11738663,0,
Fisetin,Site195,WOW,0.098264515,0,
Fisetin,Site196,WOW,0.12385669,0.084876959,
Fisetin,Site197,WOW,0,0,
Fisetin,Site198,WOW,0.09390958,0,
Fisetin,Site199,WOW,0.10046261,0,
Fisetin,Site200,WOW,0.034721434,0.057273406,
Fisetin,Site201,WOW,0,0,
Fisetin,Site202,WOW,0.14906375,0,
Fisetin,Site203,WOW,0.08375195,0,
Fisetin,Site204,WOW,0.033632055,0.066611939,
Fisetin,Site205,WOW,0,0,
Fisetin,Site206,WOW,0.091327965,0,
Fisetin,Site207,WOW,0.14959924,0,
Fisetin,Site208,WOW,0.06840777,0.077333744,
Forsythoside_E,Site209,WOW,0.000218366,0,
Forsythoside_E,Site210,WOW,0.310565,0,
Forsythoside_E,Site211,WOW,0.35561866,0,
Forsythoside_E,Site212,WOW,0.19182643,0.214557114,
Forsythoside_E,Site213,WOW,0,0,
Forsythoside_E,Site214,WOW,0.25005642,0,
Forsythoside_E,Site215,WOW,0.27736834,0,
Forsythoside_E,Site216,WOW,0.09803965,0.156366103,
Forsythoside_E,Site217,WOW,0,0,
Forsythoside_E,Site218,WOW,0.23817322,0,
Forsythoside_E,Site219,WOW,0.28625858,0,
Forsythoside_E,Site220,WOW,0.28573236,0.20254104,
Forsythoside_E,Site221,WOW,0.000308816,0,
Forsythoside_E,Site222,WOW,0.3662239,0,
Forsythoside_E,Site223,WOW,0.27877977,0,
Forsythoside_E,Site224,WOW,0.2689908,0.228575822,
Hydroxychloroquine,Site225,WOW,0,0,
Hydroxychloroquine,Site226,WOW,0.24576461,0,
Hydroxychloroquine,Site227,WOW,0.27962503,0,
Hydroxychloroquine,Site228,WOW,0.18434452,0.17743354,
Hydroxychloroquine,Site229,WOW,0,0,
Hydroxychloroquine,Site230,WOW,0.146112,0,
Hydroxychloroquine,Site231,WOW,0.23785436,0,
Hydroxychloroquine,Site232,WOW,0.14694051,0.132726718,
Hydroxychloroquine,Site233,WOW,0,0,
Hydroxychloroquine,Site234,WOW,0.21519823,0,
Hydroxychloroquine,Site235,WOW,0.24631986,0,
Hydroxychloroquine,Site236,WOW,0.3018002,0.190829573,
Hydroxychloroquine,Site237,WOW,0,0,
Hydroxychloroquine,Site238,WOW,0.24914585,0,
Hydroxychloroquine,Site239,WOW,0.18862145,0,
Hydroxychloroquine,Site240,WOW,0.14651993,0.146071808,
Hypericin,Site241,WOW,0.000147222,0,
Hypericin,Site242,WOW,0.040239934,0,
Hypericin,Site243,WOW,0.038329016,0,
Hypericin,Site244,WOW,0.043579303,0.030573869,
Hypericin,Site245,WOW,0,0,
Hypericin,Site246,WOW,0.050129585,0,
Hypericin,Site247,WOW,0.05017885,0,
Hypericin,Site248,WOW,0.050187055,0.037623873,
Hypericin,Site249,WOW,0,0,
Hypericin,Site250,WOW,0.028589198,0,
Hypericin,Site251,WOW,0.049176227,0,
Hypericin,Site252,WOW,0.019347278,0.024278176,
Hypericin,Site253,WOW,0,0,
Hypericin,Site254,WOW,0.04790634,0,
Hypericin,Site255,WOW,0.05238406,0,
Hypericin,Site256,WOW,0.053215936,0.038376584,
Hyperoside,Site257,WOW,0,0,
Hyperoside,Site258,WOW,0.23344678,0,
Hyperoside,Site259,WOW,0.27376422,0,
Hyperoside,Site260,WOW,0.28174397,0.197238743,
Hyperoside,Site261,WOW,0.000152513,0,
Hyperoside,Site262,WOW,0.2927771,0,
Hyperoside,Site263,WOW,0.2800656,0,
Hyperoside,Site264,WOW,0.14868496,0.180420043,
Hyperoside,Site265,WOW,0,0,
Hyperoside,Site266,WOW,0.25550196,0,
Hyperoside,Site267,WOW,0.2100738,0,
Hyperoside,Site268,WOW,0.23790738,0.175870785,
Hyperoside,Site269,WOW,0,0,
Hyperoside,Site270,WOW,0.14712505,0,
Hyperoside,Site271,WOW,0.3043509,0,
Hyperoside,Site272,WOW,0.3446568,0.199033188,
Ivermectin,Site273,WOW,0.000242255,0,
Ivermectin,Site274,WOW,0.22692822,0,
Ivermectin,Site275,WOW,0.20727856,0,
Ivermectin,Site276,WOW,0.12831233,0.140690341,
Ivermectin,Site277,WOW,0,0,
Ivermectin,Site278,WOW,0.44286886,0,
Ivermectin,Site279,WOW,0.43681058,0,
Ivermectin,Site280,WOW,0.16383949,0.260879733,
Ivermectin,Site281,WOW,0,0,
Ivermectin,Site282,WOW,0.31233045,0,
Ivermectin,Site283,WOW,0.31060517,0,
Ivermectin,Site284,WOW,0.32058918,0.2358812,
Ivermectin,Site285,WOW,0,0,
Ivermectin,Site286,WOW,0.21343549,0,
Ivermectin,Site287,WOW,0.27647012,0,
Ivermectin,Site288,WOW,0.2719794,0.190471253,
Ligand_Name,Site289,WOW,RMSD Value,0,
Lopinavir,Site290,WOW,0,0,
Lopinavir,Site291,WOW,0.32467887,0,
Lopinavir,Site292,WOW,0.4523181,0.25899899,
Lopinavir,Site293,WOW,0.38379827,0,
Lopinavir,Site294,WOW,0,0,
Lopinavir,Site295,WOW,0.42751932,0,
Lopinavir,Site296,WOW,0.3508729,0.290547623,
Lopinavir,Site297,WOW,0.3352624,0,
Lopinavir,Site298,WOW,0.000195313,0,
Lopinavir,Site299,WOW,0.33368978,0,
Lopinavir,Site300,WOW,0.40177348,0.267730243,
Lopinavir,Site301,WOW,0.36951524,0,
Lopinavir,Site302,WOW,0.000195313,0,
Lopinavir,Site303,WOW,0.40893844,0,
Lopinavir,Site304,WOW,0.29744658,0.269023893,
Lopinavir,Site305,WOW,0.39623362,0,
Myricetin,Site306,WOW,0,0,
Myricetin,Site307,WOW,0.21978553,0,
Myricetin,Site308,WOW,0.21311271,0.207282965,
Myricetin,Site309,WOW,0.05724557,0,
Myricetin,Site310,WOW,0,0,
Myricetin,Site311,WOW,0.107289545,0,
Myricetin,Site312,WOW,0.21241339,0.094237126,
Myricetin,Site313,WOW,0.113829166,0,
Myricetin,Site314,WOW,0,0,
Myricetin,Site315,WOW,0.088088706,0,
Myricetin,Site316,WOW,0.19895901,0.100219221,
Myricetin,Site317,WOW,0.17048799,0,
Myricetin,Site318,WOW,0.000181343,0,
Myricetin,Site319,WOW,0.18679273,0,
Myricetin,Site320,WOW,0.18047948,0.134485386,
Myricetin,Site321,WOW,0.20280127,0,
Nelfinavir,Site322,WOW,0.000208204,0,
Nelfinavir,Site323,WOW,0.34339544,0,
Nelfinavir,Site324,WOW,0.27149084,0.204473939,
Nelfinavir,Site325,WOW,0.2542994,0,
Nelfinavir,Site326,WOW,0,0,
Nelfinavir,Site327,WOW,0.40547782,0,
Nelfinavir,Site328,WOW,0.31582278,0.2439,
Nelfinavir,Site329,WOW,0.31842968,0,
Nelfinavir,Site330,WOW,0,0,
