Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean
Amentoflavone,Site1,WOW,-6.575358,0
Amentoflavone,Site2,WOW,-6.56654628,0
Amentoflavone,Site3,WOW,-6.7975614,0
Amentoflavone,Site4,WOW,-5.11048716,-6.26248821
Amentoflavone,Site5,WOW,1.431350484,0
Amentoflavone,Site6,WOW,1.413774804,0
Amentoflavone,Site7,WOW,1.370358576,0
Amentoflavone,Site8,WOW,1.359168408,1.393663068
Amentoflavone,Site9,WOW,-3.3128724,0
Amentoflavone,Site10,WOW,-3.8616348,0
Amentoflavone,Site11,WOW,-3.6923256,0
Amentoflavone,Site12,WOW,-3.0430284,-3.4774653
Amentoflavone,Site13,WOW,-2.6002932,0
Amentoflavone,Site14,WOW,-4.1071212,0
Amentoflavone,Site15,WOW,-3.4819428,0
Amentoflavone,Site16,WOW,-0.6844008,-2.7184395
Apigenin,Site17,WOW,-6.8976186,0
Apigenin,Site18,WOW,-6.53418888,0
Apigenin,Site19,WOW,-5.31088812,0
Apigenin,Site20,WOW,-4.22014524,-5.74071021
Apigenin,Site21,WOW,1.48968216,0
Apigenin,Site22,WOW,1.490037972,0
Apigenin,Site23,WOW,1.49049408,0
Apigenin,Site24,WOW,1.490615868,1.49020752
Apigenin,Site25,WOW,-3.4800324,0
Apigenin,Site26,WOW,-4.362876,0
Apigenin,Site27,WOW,-3.6896988,0
Apigenin,Site28,WOW,-3.6003876,-3.7832487
Apigenin,Site29,WOW,-2.2258548,0
Apigenin,Site30,WOW,-4.104972,0
Apigenin,Site31,WOW,-2.1451404,0
Apigenin,Site32,WOW,-4.4120688,-3.222009
Baicalein,Site33,WOW,-6.16321308,0
Baicalein,Site34,WOW,-5.40139332,0
Baicalein,Site35,WOW,-6.5255682,0
Baicalein,Site36,WOW,-6.21839976,-6.07714359
Baicalein,Site37,WOW,1.4895747,0
Baicalein,Site38,WOW,1.489082772,0
Baicalein,Site39,WOW,1.48904934,0
Baicalein,Site40,WOW,1.489070832,1.489194411
Baicalein,Site41,WOW,-3.6433716,0
Baicalein,Site42,WOW,-4.109748,0
Baicalein,Site43,WOW,-3.3541848,0
Baicalein,Site44,WOW,-4.3698012,-3.8692764
Baicalein,Site45,WOW,-2.8629732,0
Baicalein,Site46,WOW,-2.7447672,0
Baicalein,Site47,WOW,-2.0706348,0
Baicalein,Site48,WOW,-4.6573164,-3.0839229
Baicalin,Site49,WOW,-5.9291652,0
Baicalin,Site50,WOW,-5.72866872,0
Baicalin,Site51,WOW,-5.68432356,0
Baicalin,Site52,WOW,-4.27385136,-5.40400221
Baicalin,Site53,WOW,1.574840628,0
Baicalin,Site54,WOW,1.220535456,0
Baicalin,Site55,WOW,1.731894612,0
Baicalin,Site56,WOW,0.9448719,1.368035649
Baicalin,Site57,WOW,-3.3448716,0
Baicalin,Site58,WOW,-2.1322452,0
Baicalin,Site59,WOW,-2.2540332,0
Baicalin,Site60,WOW,-2.864406,-2.648889
Baicalin,Site61,WOW,-2.27457,0
Baicalin,Site62,WOW,-2.1358272,0
Baicalin,Site63,WOW,-2.1358272,0
Baicalin,Site64,WOW,-3.7630104,-2.5773087
Baricitinib,Site65,WOW,-7.2277596,0
Baricitinib,Site66,WOW,-5.4600426,0
Baricitinib,Site67,WOW,-6.29457696,0
Baricitinib,Site68,WOW,-5.83612872,-6.20462697
Baricitinib,Site69,WOW,1.870181304,0
Baricitinib,Site70,WOW,1.869240432,0
Baricitinib,Site71,WOW,1.868512092,0
Baricitinib,Site72,WOW,1.86767868,1.868903127
Baricitinib,Site73,WOW,-3.5117928,0
Baricitinib,Site74,WOW,-2.833362,0
Baricitinib,Site75,WOW,-3.921096,0
Baricitinib,Site76,WOW,-3.0473268,-3.3283944
Baricitinib,Site77,WOW,-2.8343172,0
Baricitinib,Site78,WOW,-2.9147928,0
Baricitinib,Site79,WOW,-4.4182776,0
Baricitinib,Site80,WOW,-3.3054696,-3.3682143
Berchemol,Site81,WOW,-6.64535028,0
Berchemol,Site82,WOW,-6.78447516,0
Berchemol,Site83,WOW,-4.90249236,0
Berchemol,Site84,WOW,-7.16911032,-6.37535703
Berchemol,Site85,WOW,1.157026596,0
Berchemol,Site86,WOW,1.091074812,0
Berchemol,Site87,WOW,1.186105272,0
Berchemol,Site88,WOW,1.14186996,1.14401916
Berchemol,Site89,WOW,-5.841048,0
Berchemol,Site90,WOW,-3.5932236,0
Berchemol,Site91,WOW,-3.536628,0
Berchemol,Site92,WOW,-4.8051336,-4.4440083
Berchemol,Site93,WOW,-3.6987732,0
Berchemol,Site94,WOW,-6.5913576,0
Berchemol,Site95,WOW,-1.7210316,0
Berchemol,Site96,WOW,-5.9028972,-4.4785149
Camostat,Site97,WOW,-5.55455964,0
Camostat,Site98,WOW,-3.18418308,0
Camostat,Site99,WOW,-2.80265232,0
Camostat,Site100,WOW,-3.9673038,-3.87717471
Camostat,Site101,WOW,1.779566256,0
Camostat,Site102,WOW,1.853236056,0
Camostat,Site103,WOW,1.907137992,0
Camostat,Site104,WOW,1.330576884,1.717629297
Camostat,Site105,WOW,-1.1042112,0
Camostat,Site106,WOW,-2.7674532,0
Camostat,Site107,WOW,-2.8445856,0
Camostat,Site108,WOW,-3.0349092,-2.4377898
Camostat,Site109,WOW,-3.44469,0
Camostat,Site110,WOW,-0.7849356,0
Camostat,Site111,WOW,-3.3174096,0
Camostat,Site112,WOW,-3.3711396,-2.7295437
Chrysin,Site113,WOW,-5.4849972,0
Chrysin,Site114,WOW,-5.51692476,0
Chrysin,Site115,WOW,-5.7719154,0
Chrysin,Site116,WOW,-7.2787434,-6.01314519
Chrysin,Site117,WOW,1.489567536,0
Chrysin,Site118,WOW,1.489386048,0
Chrysin,Site119,WOW,1.48944336,0
Chrysin,Site120,WOW,1.48980156,1.489549626
Chrysin,Site121,WOW,-4.32228,0
Chrysin,Site122,WOW,-4.1832984,0
Chrysin,Site123,WOW,-3.7107132,0
Chrysin,Site124,WOW,-2.8761072,-3.7730997
Chrysin,Site125,WOW,-2.9350908,0
Chrysin,Site126,WOW,-2.9592096,0
Chrysin,Site127,WOW,-2.9448816,0
Chrysin,Site128,WOW,-4.0622268,-3.2253522
Curcumin,Site129,WOW,-5.76040524,0
Curcumin,Site130,WOW,-5.89341684,0
Curcumin,Site131,WOW,-6.82636068,0
Curcumin,Site132,WOW,-5.3946114,-5.96869854
Curcumin,Site133,WOW,1.164095076,0
Curcumin,Site134,WOW,1.00798674,0
Curcumin,Site135,WOW,1.155011124,0
Curcumin,Site136,WOW,1.00729422,1.08359679
Curcumin,Site137,WOW,-4.5233496,0
Curcumin,Site138,WOW,-5.0372472,0
Curcumin,Site139,WOW,-4.2513564,0
Curcumin,Site140,WOW,-4.0292724,-4.4603064
Curcumin,Site141,WOW,-4.5071112,0
Curcumin,Site142,WOW,-4.8913404,0
Curcumin,Site143,WOW,-2.9107332,0
Curcumin,Site144,WOW,-3.1428468,-3.8630079
DAR,Site145,WOW,-5.946717,0
DAR,Site146,WOW,-6.32528664,0
DAR,Site147,WOW,-5.8288692,0
DAR,Site148,WOW,-7.85606628,-6.48923478
DAR,Site149,WOW,-0.969554268,0
DAR,Site150,WOW,-1.028299068,0
DAR,Site151,WOW,-1.071242472,0
DAR,Site152,WOW,-1.489615296,-1.139677776
DAR,Site153,WOW,-2.29845,0
DAR,Site154,WOW,-5.7185436,0
DAR,Site155,WOW,-2.7758112,0
DAR,Site156,WOW,-6.3816912,-4.293624
DAR,Site157,WOW,-6.1039668,0
DAR,Site158,WOW,-4.6668684,0
DAR,Site159,WOW,-4.4326056,0
DAR,Site160,WOW,-3.7076088,-4.7277624
Diammonium,Site173,WOW,0,0
Diammonium,Site174,WOW,0,0
Diammonium,Site175,WOW,0,0
Diammonium,Site176,WOW,0,0
Disulfiram,Site1,WOW,-5.31109678,0
Disulfiram,Site1,WOW,-5.186037069,0
Disulfiram,Site1,WOW,-5.375011942,0
Disulfiram,Site1,WOW,-5.598261202,-5.367601748
Disulfiram,Site2,WOW,2.061978122,0
Disulfiram,Site2,WOW,1.9,0
Disulfiram,Site2,WOW,1.898492882,0
Disulfiram,Site2,WOW,2.059986147,1.980114288
Disulfiram,Site3m,WOW,-0.831644693,0
Disulfiram,Site3m,WOW,-1.981372409,0
Disulfiram,Site3m,WOW,-1.907320627,0
Disulfiram,Site3m,WOW,-2.451012707,-1.792837609
Disulfiram,Site3d,WOW,-1.541819528,0
Disulfiram,Site3d,WOW,-1.721424477,0
Disulfiram,Site3d,WOW,-1.929753033,0
Disulfiram,Site3d,WOW,-1.508856406,-1.675463361
Fisetin,Site1,WOW,-7.284704309,0
Fisetin,Site1,WOW,-6.266098213,0
Fisetin,Site1,WOW,-8.455789625,0
Fisetin,Site1,WOW,-6.846469858,-7.213265501
Fisetin,Site2,WOW,0.95900449,0
Fisetin,Site2,WOW,0.958058661,0
Fisetin,Site2,WOW,0.951105857,0
Fisetin,Site2,WOW,0.95189166,0.955015167
